Wall time,Step,Value
1553066363.5541604,0,35.108642578125
1553066462.5435376,25,16.251781463623047
1553066582.549096,57,7.514437675476074
1553066701.7718673,89,6.297640323638916
1553066820.9947302,121,5.881824493408203
1553066942.4467227,154,4.956035137176514
1553067062.4061718,186,4.538115501403809
1553067184.0112443,219,4.254918098449707
1553067302.8766165,251,4.040550708770752
1553067422.6128433,283,4.145455837249756
1553067541.5318813,315,3.4147369861602783
1553067660.927938,347,3.9250409603118896
1553067779.9332218,379,3.8926191329956055
1553067902.4266655,412,3.8938307762145996
1553068024.392585,445,3.531073808670044
1553068141.0682142,476,3.4653525352478027
1553068260.6460736,508,3.2252132892608643
1553068380.4951224,540,3.7988531589508057
1553068502.0287025,572,2.7654528617858887
1553068622.367491,604,3.288078546524048
1553068745.1241262,636,3.7803618907928467
1553068863.8191378,667,3.3828916549682617
1553068983.0307856,698,2.9879226684570312
1553069102.2276785,729,2.880495548248291
1553069221.7046502,760,2.824650526046753
1553069342.4600523,792,2.7292656898498535
1553069462.2417104,824,3.1031534671783447
1553069580.6148348,854,2.8766238689422607
1553069702.4628496,886,3.311342239379883
1553069824.3166966,918,2.7309296131134033
1553069944.6100109,935,3.225330114364624
1553070061.7399416,955,2.79791522026062
1553070183.6435125,988,3.0206260681152344
1553070300.5537546,1019,2.8865058422088623
1553070421.8778856,1052,2.652017116546631
1553070544.7321424,1085,2.7121520042419434
1553070661.2507977,1116,3.3210041522979736
1553070780.494295,1148,2.3221921920776367
1553070902.1762857,1181,2.378934621810913
1553071024.8712747,1214,2.664114236831665
1553071141.7835257,1245,2.5019278526306152
1553071261.1501558,1277,2.682767629623413
1553071382.5921826,1310,2.460855722427368
1553071501.7287405,1342,2.498781442642212
1553071622.2766938,1374,2.4196810722351074
1553071741.269185,1406,2.569345712661743
1553071861.0870905,1438,2.689457416534424
1553071982.6567023,1471,2.361255645751953
1553072099.571626,1502,2.542660713195801
1553072222.1322446,1535,3.165276527404785
1553072341.119081,1567,2.410987138748169
1553072460.4965742,1599,2.8486340045928955
1553072582.1226578,1632,2.807852029800415
1553072702.7074475,1664,2.462233781814575
1553072824.5395904,1697,3.166486978530884
1553072941.2217205,1728,2.265714406967163
1553073062.9998627,1761,2.4102790355682373
1553073182.3198571,1793,2.0109617710113525
1553073301.8325138,1825,2.5589139461517334
1553073424.7554092,1858,2.7106473445892334
1553073541.5230935,1889,2.6852128505706787
1553073663.268576,1922,2.556929588317871
1553073780.2146542,1953,2.5447232723236084
1553073901.9369855,1986,2.2305498123168945
1553074022.3201706,2018,2.724327325820923
1553074141.9501421,2050,2.2972047328948975
1553074261.0660245,2082,2.293419599533081
1553074380.4815102,2114,2.251221179962158
1553074502.6016815,2147,2.1445960998535156
1553074621.8422897,2179,2.2761178016662598
1553074742.7283247,2211,2.5528364181518555
1553074861.6709373,2243,2.747786045074463
1553074980.7762082,2275,2.25747013092041
1553075102.312225,2308,2.4667065143585205
1553075221.527511,2340,2.2296323776245117
1553075342.003874,2372,2.5350990295410156
1553075463.9610798,2405,2.279498338699341
1553075583.3659973,2437,2.6796112060546875
